city,name,amount,genre
Auckland,Alana,37000,FPS
Auckland,Amelia,37000,Stacking Puzzle
Auckland,Andra,37000,Action Adventure
Bengaluru,Anthony,37000,4X Strategy
Bengaluru,Arleta,37000,Third Person Shooter
Bengaluru,Benjamin,37000,JRPG
Briminghim,Alfonso,37000,Action Puzzle
Briminghim,Anna,37000,Trainer RPG
Briminghim,Anthony,37000,Rhythm
Brisbane,Alda,37000,Trainer RPG
Brisbane,Alicia,37000,Tactical Third Person Shooter
Brisbane,Amar,37000,Application
Calgary,Aaron,37000,2D Platformer
Calgary,Alessandra,37000,Football Sim
Calgary,Altin,37000,Action Adventure
Chandigarh,Carol Gloria,37000,Visual Novel
Chandigarh,Christina,37000,Pinball
Chandigarh,Griffin,37000,JRPG
Chennai,Alexandra,37000,Auto Racing
Chennai,Birgitta,37000,Open-World Action
Chennai,Brett,37000,Action Puzzle
Chicago,Alex,37000,Point-and-Click
Chicago,Ana,37000,JRPG
Chicago,Anthony,37000,First-Person Adventure
Christchurch,Bojan+Margaret,37000,Space Combat Sim
Christchurch,Carrie-Anne,37000,Action RPG
Christchurch,Casey,37000,Real-Time Strategy
Dallas,Adrian,37000,Action Adventure
Dallas,AFI Apartments,37000,Hidden Object
Dallas,Alexandra,37000,Survival
Dublin,Adrienne,37000,Sandbox
Dublin,Arthur,37000,Soccer Management
Dublin,Brendan,37000,2D Platformer
Edmonton,AFI Apartments,37000,Third Person Shooter
Edmonton,Brendan,37000,3D Beat-'Em-Up
Edmonton,Caits & Taf,37000,Action Puzzle
Florence,Alex,37000,Action RPG
Florence,Amanda,37000,Auto Racing
Florence,Andrew And Clara,37000,Defense
Frankfurt,Alexander,37000,Adventure
Frankfurt,Allegra,37000,Action Adventure
Frankfurt,Andrew And Kat,37000,Survival
Galway,Aaron,37000,Soccer Management
Galway,Alain,37000,Action Adventure
Galway,Alesandra,37000,Real-Time Tactics
Hamburg,Alison,37000,Tennis
Hamburg,Andreias,37000,Roguelike
Hamburg,Anna,37000,Action Adventure
London,Ada Azra,37000,Action Puzzle
London,AJ And Freddy,37000,Action
London,Andreas,37000,Survival
Melbourne,@ Art House Monique,37000,Turn-Based Tactics
Melbourne,Adam And Charity,37000,Third-Person Adventure
Melbourne,Andrzej,37000,Adventure
Mumbai,Ali,37000,4X Strategy
Mumbai,Arjun,37000,Board
Mumbai,Chavisa,37000,Third-Person Adventure
New Delhi,Amir,37000,FPS
New Delhi,Andrew And Stine,37000,Light Gun
New Delhi,Callie,37000,Soccer Sim
New York,Alain,37000,Third Person Shooter
New York,Ceci,37000,Open-World Action
New York,Charles,37000,Real-Time Tactics
Pune,Alix,37000,Auto Racing
Pune,Bob,37000,3D Platformer
Pune,Brooke,37000,Action RPG
Rome,Ana,37000,3D Beat-'Em-Up
Rome,Arlette,37000,Action Adventure
Rome,Christina,37000,FPS
Singapore,Alessandro,37000,Action Adventure
Singapore,Alex,37000,FPS
Singapore,Alison,37000,Point-and-Click
Sydney,AFI Apartments,37000,3D Platformer
Sydney,Anna,37000,Light Gun
Sydney,Gaya,37000,Action Adventure
Toronto,Agustina,37000,Virtual Life
Toronto,Allison,37000,Soccer Sim
Toronto,Ange,37000,Open-World Action
Vancouver,Agnieszka,37000,Defense
Vancouver,Amanda,37000,Football Sim
Vancouver,Avijit,37000,2D Fighting
Venice,Angela,37000,Adventure
Venice,Angelica,37000,Action Puzzle
Venice,Brandon,37000,Action RPG
Wellington,Alia,37000,Action Adventure
Wellington,Alissa,37000,Party
Wellington,Anneta,37000,Baseball Sim
